"new_category","new_description","importsequencenumber","new_level","new_skillid","new_skillname","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","new_validuntil","versionnumber","owningbusinessunit"
"100000004","Stakeholder management and client relationship building","","100000003","e823f442-b681-f011-b4cc-6045bdf6050e","Client Communication","1","0","","","","7590248","6718c5b2-9ca9-ef11-b8e8-000d3a4bac2e"
"100000004","Agile/Scrum methodologies, team leadership","","100000002","f6a7f236-b681-f011-b4cc-6045bdf6050e","Project Management","1","0","","","","7590230","6718c5b2-9ca9-ef11-b8e8-000d3a4bac2e"
"100000003","NoSQL database design and development","","100000001","0b17ec2a-b681-f011-b4cc-6045bdf6050e","MongoDB","1","0","","","","7590213","6718c5b2-9ca9-ef11-b8e8-000d3a4bac2e"
"100000003","Database design, T-SQL, performance tuning","","100000002","5552e31e-b681-f011-b4cc-6045bdf6050e","SQL Server","1","0","","","","7590210","6718c5b2-9ca9-ef11-b8e8-000d3a4bac2e"
"100000001","Basic Amazon Web Services knowledge","","100000000","2c7abb12-b681-f011-b4cc-6045bdf6050e","AWS Basics","1","0","","","","7590194","6718c5b2-9ca9-ef11-b8e8-000d3a4bac2e"
"100000001","CI/CD pipelines, source control, and project management","","100000001","fe514006-b681-f011-b4cc-6045bdf6050e","Azure DevOps","1","0","","","","7590179","6718c5b2-9ca9-ef11-b8e8-000d3a4bac2e"
"100000001","Azure services, deployment, and cloud architecture","","100000002","90684afa-b581-f011-b4cc-6045bdf6050e","Microsoft Azure","1","0","","","","7590172","6718c5b2-9ca9-ef11-b8e8-000d3a4bac2e"
"100000002","Salesforce configuration and basic customization","","100000001","ccfc3eee-b581-f011-b4cc-6045bdf6050e","Salesforce Administration","1","0","","","","7590160","6718c5b2-9ca9-ef11-b8e8-000d3a4bac2e"
"100000002","Power Apps, Power Automate, Power BI development","","100000002","a4e62ce2-b581-f011-b4cc-6045bdf6050e","Power Platform","1","0","","","","7590147","6718c5b2-9ca9-ef11-b8e8-000d3a4bac2e"
"100000002","Customization, configuration, and development in Dynamics 365 CE","","100000003","0e9a2dd6-b581-f011-b4cc-6045bdf6050e","Microsoft Dynamics 365","1","0","","","","7590139","6718c5b2-9ca9-ef11-b8e8-000d3a4bac2e"
"100000000","Python scripting and web development with Django/Flask","","100000000","2468fdb7-b581-f011-b4cc-6045bdf6050e","Python Development","1","0","","","","7590126","6718c5b2-9ca9-ef11-b8e8-000d3a4bac2e"
"100000000","Frontend and backend JavaScript development, React, Node.js","","100000001","fa26b9ab-b581-f011-b4cc-6045bdf6050e","JavaScript Development","1","0","","","","7590115","6718c5b2-9ca9-ef11-b8e8-000d3a4bac2e"
"100000000","Object-oriented programming in C# with .NET Framework and .NET Core","","100000002","eec3c0a5-b581-f011-b4cc-6045bdf6050e","C# Programming","1","0","","","","7590112","6718c5b2-9ca9-ef11-b8e8-000d3a4bac2e"
